2017-07-21 15:55:42,10,b'NEWS Sean Spicer Resigns as White House Press Secretary @GLENNTHRUSH https://t.co/eUwRGpJ2jl'
2017-07-21 15:55:42,3,b'RT @CeylanWrites: Israeli Aid Gives an Unexpected \xe2\x80\x98Glimmer of Hope\xe2\x80\x99 for Syrians - The New York Times https://t.co/jiNkozB6Rs'
2017-07-21 15:55:42,692,"b""RT @kylegriffin1: The New York Times had to fact check Trump's interview with them. They found several misleading and false claims. https:/\xe2\x80\xa6"""
2017-07-21 15:55:42,8,"b""RT @DouthatNYT: 1. Quick thoughts on @JDVance1's Times op-ed today on conservatives and the health care debate:\nhttps://t.co/Z8Axs4Ezu8"""
2017-07-21 15:55:42,0,"b'""Beyonc\xc3\xa9 Statue at Madame Tussauds Is Removed After Criticism"" by JACEY FORTIN via NYT https://t.co/WAxK8463Lp'"
2017-07-21 15:55:41,0,"b'President Trump\xe2\x80\x99s Lies, the Definitive List - The New York Times https://t.co/at3SdnWNb1'"
2017-07-21 15:55:41,5,b'RT @el_belson: Ties to Cuba Enhance and Entangle Jorge Mas\xe2\x80\x99s Marlins Bid https://t.co/PtpIrwXABb @ByJamesWagner with a deep dive on a bidde\xe2\x80\xa6'
2017-07-21 15:55:40,1,"b'RT @aameyers: Only someone with something to hide, #SoCalledPresident #realDonaldTrump attacks the investigators: https://t.co/Y3UX4XFBtN'"
2017-07-21 15:55:39,3789,"b'RT @NormEisen: Be VERY careful Mr. Pres., ""investigating the investigators"" can be obstruction. See US v. Baca (C.D. Cal 2017) https://t.co\xe2\x80\xa6'"
2017-07-21 15:55:38,162,"b'RT @ddale8: ""I can\'t even remember why I opposed it"": excellent story on Obamacare repeal becoming unpopular as it approached. https://t.co\xe2\x80\xa6'"
2017-07-21 15:55:38,0,"b'""Bertens Beats Doubles Partner to Reach Semifinals in Gstaad"" https://t.co/ldJqch3S0p https://t.co/Bg0pN6wKxJ'"
2017-07-21 15:55:38,118,b'RT @danpfeiffer: These Americans Hated the Health Law. Until the Idea of Repeal Sank In. https://t.co/ldJBdF3y09'
2017-07-21 15:55:37,1,"b'RT @geoffwking: Trump Aides, Seeking Leverage, Investigate Mueller\xe2\x80\x99s Investigators, via @nytimes https://t.co/VOc9Yj470C'"
2017-07-21 15:55:36,0,"b'If Trump Pardons, It Could Be a Crime to undercut, obstruct or even end, the special counsel\xe2\x80\x99s Muller investigation\xc2\xa0\nhttps://t.co/xT5ow4WJ1j'"
2017-07-21 15:55:35,55,"b'RT @nytimes: A striking, if unintended, outcome of opening Dal\xc3\xad\xe2\x80\x99s tomb: His ""mustache kept its classic 10-past-10 position"" https://t.co/eB\xe2\x80\xa6'"
